"#","Country","ISO","Corporate Tax","VAT/Sales Tax","2024 Population","10yr Pop Change","Res. Dividend Tax","Non-Res. Dividend Tax","Democracy % (VDem Polyarchy)"
"1","Algeria","DZ","26%","19%","45.6M","+17.8%","15%","15%","26%"
"2","Angola","AO","25%","14%","37.9M","+35.8%","10%","10%","34%"
"3","Benin","BJ","30%","18%","13.7M","+29.2%","15%","15%","50%"
"4","Botswana","BW","22%","14%","2.6M","+18.2%","10%","10%","59%"
"5","Burkina Faso","BF","27.5%","18%","23.3M","+32.4%","12.5%","12.5%","16%"
"6","Burundi","BI","30%","18%","13.2M","+29.4%","15%","15%","17%"
"7","Cabo Verde","CV","22%","15%","0.6M","+20.0%","20%","20%","76%"
"8","Cameroon","CM","30%","19.3%","28.6M","+25.4%","16.5%","16.5%","29%"
"9","Central African Republic","CF","30%","19%","5.7M","+23.9%","20%","20%","30%"
"10","Chad","TD","35%","18%","18.3M","+34.6%","20%","20%","20%"
"11","Comoros","KM","35%","10%","0.9M","+28.6%","10%","10%","28%"
"12","DR Congo","CD","30%","16%","102.3M","+36.6%","10% / 20%","20%","33%"
"13","Republic of Congo","CG","30%","18.9%","6.1M","+24.5%","15%","15%","25%"
"14","Djibouti","DJ","25%","10%","1.1M","+22.2%","15%","15%","25%"
"15","Egypt","EG","22.5%","14%","105.9M","+16.6%","5% / 10%","10%","19%"
"16","Equatorial Guinea","GQ","35%","15%","1.8M","+38.5%","10%","15%","18%"
"17","Eritrea","ER","30%","4%","3.7M","+15.6%","10%","10%","7%"
"18","Eswatini","SZ","27.5%","15%","1.2M","+9.1%","0%","15%","13%"
"19","Ethiopia","ET","30%","15%","129.7M","+33.7%","10%","15%","26%"
"20","Gabon","GA","30%","18%","2.4M","+26.3%","25%","25%","23%"
"21","Gambia","GM","27%","15%","2.8M","+40.0%","15%","15%","63%"
"22","Ghana","GH","25%","20%","34.1M","+24.5%","8%","8%","67%"
"23","Guinea","GN","25%","18%","14.2M","+24.6%","15%","15%","16%"
"24","Guinea-Bissau","GW","25%","15%","2.1M","+23.5%","10%","10%","28%"
"25","Ivory Coast","CI","25%","18%","27.5M","+23.9%","15%","15%","43%"
"26","Kenya","KE","30%","16%","55.1M","+22.4%","5%","15%","55%"
"27","Lesotho","LS","25%","15%","2.3M","+9.5%","25%","25%","66%"
"28","Liberia","LR","25%","10%","5.4M","+25.6%","15%","15%","61%"
"29","Libya","LY","20%","0%","7.4M","+17.5%","0%","0%","20%"
"30","Madagascar","MG","20%","20%","30.3M","+31.7%","0%","10%","42%"
"31","Malawi","MW","30%","16.5%","21.0M","+25.7%","10%","10%","58%"
"32","Mali","ML","30%","18%","24.0M","+36.4%","10%","10%","20%"
"33","Mauritania","MR","25%","16%","4.9M","+25.6%","10%","10%","33%"
"34","Mauritius","MU","15%","15%","1.3M","+0.3%","0%","0%","49%"
"35","Morocco","MA","20%","20%","37.8M","+11.5%","11.25%","11.25%","26%"
"36","Mozambique","MZ","32%","16%","33.9M","+25.1%","20%","20%","30%"
"37","Namibia","NA","32%","15%","3.1M","+29.2%","0%","10%","62%"
"38","Niger","NE","30%","19%","27.2M","+36.7%","10%","10%","24%"
"39","Nigeria","NG","30%","7.5%","229.2M","+26.6%","10%","10%","50%"
"40","Rwanda","RW","30%","18%","14.2M","+22.4%","15%","15%","20%"
"41","São Tomé & Príncipe","ST","25%","0%","0.23M","+21.1%","10%","10%","67%"
"42","Senegal","SN","30%","18%","17.8M","+23.6%","10%","10%","62%"
"43","Seychelles","SC","25%","15%","0.107M","+15.1%","15%","15%","74%"
"44","Sierra Leone","SL","30%","15%","8.8M","+27.5%","10%","10%","44%"
"45","Somalia","SO","15%","5%","18.1M","+35.1%","0%","0%","17%"
"46","South Africa","ZA","27%","15%","63.0M","+15.8%","20%","20%","73%"
"47","South Sudan","SS","25%","18%","11.0M","+1.9%","10%","10%","16%"
"48","Sudan","SD","35%","17%","47.2M","+22.0%","10%","10%","14%"
"49","Tanzania","TZ","30%","18%","65.5M","+27.2%","5%","10%","42%"
"50","Togo","TG","27%","18%","9.0M","+26.8%","10%","10%","36%"
"51","Tunisia","TN","15%","19%","12.1M","+10.0%","0% (co.) / 10% (ind.)","10%","43%"
"52","Uganda","UG","30%","18%","48.6M","+28.6%","15%","15%","27%"
"53","Zambia","ZM","30%","16%","20.6M","+29.6%","15%","20%","51%"
"54","Zimbabwe","ZW","24.7%","15%","16.1M","+18.4%","10%","10%","27%"
